The following base tokens are supported:

Symbol          Address                                            Decimals        Program        

SOL             So11111111111111111111111111111111111111112        9               2020           
USDC            EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v       6               2020           
USDT            Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB       6               2020           
PYUSD           2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo       6               2022           
WBTC            3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh       8               2020           
WETH            7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs       8               2020           
JUP             JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN        6               2020           
RAY             4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R       6               2020           
ORCA            orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE        6               2020           
BONK            DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263       5               2020           
SOLARBA         6Qd6mmFR84jzg24S3851TWNGeTTFrfPko76UiHyRMDMT       6               2022           
WIF             EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm       6               2020           
WEN             WENWENvqqNya429ubCdR81ZmD69brwQaaBYY6p3LCpk        5               2020           
PYTH            HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3       6               2020           
INF             5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm       9               2020           
POPCAT          7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr       9               2020           
JSOL            7Q2afV64in6N6SeZsAAB81TJzwDoD6zpqmHkzi9Dcavn       9               2020           
MSOL            mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So        9               2020           
JLP             27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4       6               2020           
GUAC            AZsHEMXd36Bj1EMNXhowJajpUXzrKcK57wW4ZGXVa7yR       5               2020           
